date,state,raw_today,exposure,hs300_close
2026-07-13,risk_on,0,1.00,4780.8
2026-07-14,risk_on,0,1.00,4695.4
2026-07-15,risk_on,0,1.00,4796.5
2026-07-16,risk_on,0,1.00,4786.8
2026-07-17,risk_on,0,1.00,4698.4
2026-07-20,risk_on,1,1.00,4529.1
