date,light,state,raw_today,close,ma_days
2026-07-17,sh000852,risk_off,1,7631.8,200
2026-07-17,sh000688,risk_on,0,1846.9,200
2026-07-20,sh000852,risk_off,1,7168.0,200
2026-07-20,sh000688,risk_on,0,1715.4,200
2026-07-21,sh000852,risk_off,1,6965.4,200
2026-07-21,sh000688,risk_on,0,1718.7,200
2026-07-22,sh000852,risk_off,1,7259.9,200
2026-07-22,sh000688,risk_on,0,1903.2,200
2026-07-23,sh000852,risk_off,1,7158.8,200
2026-07-23,sh000688,risk_on,0,1860.1,200
2026-07-24,sh000852,risk_off,1,7195.5,200
2026-07-24,sh000688,risk_on,0,1789.7,200
2026-07-27,sh000852,risk_off,1,6995.7,200
2026-07-27,sh000688,risk_on,0,1787.2,200
2026-07-28,sh000852,risk_off,1,7228.8,200
2026-07-28,sh000688,risk_on,0,1808.0,200
2026-07-29,sh000852,risk_off,1,7026.3,200
2026-07-29,sh000688,risk_on,0,1693.5,200
